index	word	Adaptation	Mitigation	Non-climate
137	delivering	0.15350612	0.6018705	0.2446234
138	what	0.11431678	0.58598495	0.29969823
139	say	0.14679265	0.5804249	0.2727825
140	when	0.100951426	0.62728035	0.27176812
141	reality	0.12650254	0.56063646	0.31286108
142	doing	0.11660584	0.5702803	0.31311384
143	whole	0.11135022	0.5751792	0.31347063
144	most	0.10190286	0.6272684	0.27082875
145	critically	0.12331947	0.5874532	0.2892273
146	fundamentally	0.13972175	0.6466648	0.21361347
147	three	0.11453712	0.58500826	0.30045456
148	areas	0.1009051	0.6596561	0.23943877
149	namely	0.10184501	0.6998522	0.19830275
150	generate	0.15308458	0.6116146	0.23530078
151	electricity	0.15138981	0.61589664	0.23271355
152	must	0.14366215	0.5496348	0.30670306
153	see	0.1071804	0.61118144	0.28163812
154	dramatic	0.11180306	0.58053493	0.307662
155	shift	0.1564256	0.6072167	0.23635766
156	away	0.10319275	0.62336576	0.2734415
157	fossil	0.15506068	0.6048672	0.24007207
158	fuels	0.15460344	0.6092689	0.2361277
159	alternatives	0.15234306	0.6204644	0.22719255
160	renewable	0.16059926	0.6037744	0.2356263
161	new	0.12461735	0.6059039	0.26947877
162	unsubsidised	0.13877125	0.6189062	0.24232258
163	nuclear	0.15001532	0.60794926	0.24203545
164	power	0.13591059	0.65859103	0.20549831
165	fuel	0.15640223	0.611622	0.23197575
166	stations	0.13100651	0.66029084	0.2087027
167	fitted	0.14174439	0.5981986	0.26005703
168	capture	0.15331131	0.60962546	0.23706323
169	storage	0.15685052	0.6107875	0.23236197
170	heat	0.15469272	0.61287093	0.2324364
171	step	0.14339459	0.5645833	0.2920221
172	needed	0.11776191	0.6748567	0.20738132
173	well	0.10828745	0.60944456	0.28226802
174	are	0.12312472	0.6208367	0.25603858
175	insulated	0.1573194	0.6058532	0.23682739
176	use	0.13513204	0.6173387	0.24752931
177	pumps	0.15611361	0.607841	0.23604545
178	west	0.10076409	0.6427844	0.2564515
179	antarctic	0.122411996	0.67130977	0.20627823
180	ice	0.11009667	0.68334717	0.20655614
181	sheets	0.12684284	0.67243844	0.20071863
182	leading	0.108349726	0.6097633	0.28188694
183	major	0.14775841	0.57774544	0.2744961
184	sea	0.12522982	0.6698373	0.2049329
185	level	0.13501383	0.6374538	0.22753237
186	rise	0.10466545	0.6922602	0.20307428
187	release	0.11283126	0.56796694	0.31920183
188	large	0.14451206	0.6181994	0.23728855
189	natural	0.10286585	0.6948763	0.20225777
190	stores	0.1374503	0.61865914	0.24389063
191	methane	0.1581617	0.6058465	0.23599172
192	oceans	0.1087359	0.6887408	0.20252328
193	melting	0.14881355	0.6289724	0.22221404
194	permafrost	0.15036827	0.5912521	0.2583796
195	which	0.14401607	0.5895358	0.26644814
196	could	0.123293184	0.6796626	0.19704424
197	cause	0.11180243	0.56903976	0.31915778
198	further	0.14133035	0.61569864	0.24297106
199	warming	0.10811424	0.69027436	0.20161141
200	met	0.14978725	0.62879294	0.22141972
201	offices	0.09951536	0.67030156	0.2301831
202	hadley	0.12866272	0.64387906	0.2274583
203	centre	0.120061584	0.55963165	0.32030678
204	produced	0.14299491	0.6273751	0.22963004
205	interactive	0.11535786	0.56986487	0.31477723
206	map	0.1435864	0.6478055	0.20860806
207	outlining	0.15551108	0.60835105	0.23613788
208	impacts	0.10458305	0.6951073	0.2003097
209	may	0.13764025	0.6176153	0.2447444
210	occur	0.10314309	0.7034575	0.19339944
211	average	0.15146217	0.5981883	0.25034955
212	temperature	0.1033878	0.69008094	0.20653124
213	rises	0.15835546	0.578189	0.2634555
214	4°c	0.112643845	0.6748871	0.21246909
215	7°f	0.15011583	0.59332895	0.25655523
216	pre	0.1522529	0.58646536	0.26128173
217	industrial	0.15690006	0.5954915	0.24760844
218	governments	0.11516383	0.5858031	0.29903302
219	avoiding	0.15359542	0.5910187	0.255386
220	risk	0.106677316	0.6893201	0.20400262
221	dangerous	0.1350312	0.55859745	0.30637136
222	heart	0.12910034	0.56185263	0.30904707
223	act	0.10318959	0.688766	0.20804438
224	2008	0.10246214	0.6924712	0.20506667
225	requires	0.13954225	0.5953757	0.26508203
226	reduce	0.1330364	0.66121644	0.2057471
227	greenhouse	0.14525291	0.6333822	0.22136486
228	gas	0.15297893	0.61568886	0.2313322
229	threats	0.106686026	0.6906836	0.20263039
230	security	0.14120339	0.6417734	0.21702316
231	prosperity	0.13430253	0.61271685	0.25298065
232	there	0.10272278	0.65754575	0.2397315
233	overwhelming	0.11764138	0.65699154	0.22536711
234	scientific	0.13586241	0.5938634	0.27027413
235	consensus	0.15943108	0.61676943	0.22379951
236	happening	0.12009958	0.56770945	0.31219098
237	very	0.12241173	0.565023	0.3125653
238	likely	0.10647699	0.6506605	0.24286255
239	primarily	0.14451456	0.6103893	0.24509615
240	result	0.10615069	0.68368304	0.21016632
241	human	0.09642146	0.632268	0.27131054
242	activity	0.09881765	0.66897583	0.23220643
243	now	0.10414113	0.6237148	0.27214405
244	almost	0.11858225	0.5806356	0.3007821
245	dioxide	0.1565822	0.6041845	0.23923331
246	atmosphere	0.15162992	0.6220808	0.2262893
247	was	0.101856105	0.62981045	0.26833344
248	revolution	0.12665321	0.55820954	0.3151372
249	not	0.11146218	0.5977429	0.29079494
250	experienced	0.10132049	0.6898516	0.20882787
251	least	0.1369793	0.5482532	0.31476754
252	last	0.12632948	0.5854801	0.28819042
253	years	0.11764634	0.58070105	0.30165258
254	consequently	0.15945908	0.6029985	0.2375424
255	continues	0.102284566	0.70416707	0.19354838
256	warmest	0.14917006	0.5505458	0.3002842
257	decade	0.15108432	0.5707739	0.2781417
258	record	0.13263106	0.55238354	0.31498536
259	figure	0.14863683	0.6013485	0.2500147
260	curb	0.11489064	0.67710537	0.20800395
261	high	0.1101406	0.65672106	0.23313835
262	reaching	0.120786265	0.57480764	0.3044062
263	2°c	0.15984032	0.61153823	0.22862147
264	relative	0.12685625	0.5562188	0.31692496
265	times	0.14099304	0.56992996	0.28907704
266	unmitigated	0.15896578	0.604585	0.23644924
267	would	0.14151466	0.56774884	0.29073647
268	increase	0.1103872	0.6770614	0.21255131
269	accelerated	0.14601412	0.63401407	0.21997184
270	irreversible	0.10317549	0.69266623	0.20415822
271	system	0.14833015	0.572668	0.27900183
272	initiating	0.14375043	0.6247157	0.23153387
